lead_id,perceived_value,first_name,last_name,city,state,phone,email
45604,Low,James,Butt,New Orleans,LA,504-621-8927,jbutt@gmail.com
45605,Moderate,Josephine,Darakjy,Brighton,MI,810-292-9388,josephine_darakjy@darakjy.org
45606,Moderate,Art,Venere,Bridgeport,NJ,856-636-8749,art@venere.org
45607,Low,Lenna,Paprocki,Anchorage,AK,907-385-4412,lpaprocki@hotmail.com
45608,Low,Donette,Foller,Hamilton,OH,513-570-1893,donette.foller@cox.net
45609,Moderate,Simona,Morasca,Ashland,OH,419-503-2484,simona@morasca.com
45610,Low,Mitsue,Tollner,Chicago,IL,773-573-6914,mitsue_tollner@yahoo.com
45611,High,Leota,Dilliard,San Jose,CA,408-752-3500,leota@hotmail.com
45612,Moderate,Sage,Wieser,Sioux Falls,SD,605-414-2147,sage_wieser@cox.net
45613,Moderate,Kris,Marrier,Baltimore,MD,410-655-8723,kris@gmail.com
45614,Low,Minna,Amigon,Kulpsville,PA,215-874-1229,minna_amigon@yahoo.com
45615,Moderate,Abel,Maclead,Middle Island,NY,631-335-3414,amaclead@gmail.com
45616,Low,Kiley,Caldarera,Los Angeles,CA,310-498-5651,kiley.caldarera@aol.com
45617,Moderate,Graciela,Ruta,Chagrin Falls,OH,440-780-8425,gruta@cox.net
45618,Low,Cammy,Albares,Laredo,TX,956-537-6195,calbares@gmail.com
45619,Moderate,Mattie,Poquette,Phoenix,AZ,602-277-4385,mattie@aol.com
45620,Moderate,Meaghan,Garufi,Mc Minnville,TN,931-313-9635,meaghan@hotmail.com
45621,Low,Gladys,Rim,Milwaukee,WI,414-661-9598,gladys.rim@rim.org
45622,Low,Yuki,Whobrey,Taylor,MI,313-288-7937,yuki_whobrey@aol.com
45623,Moderate,Fletcher,Flosi,Rockford,IL,815-828-2147,fletcher.flosi@yahoo.com
45624,Low,Bette,Nicka,Aston,PA,610-545-3615,bette_nicka@cox.net
45625,High,Veronika,Inouye,San Jose,CA,408-540-1785,vinouye@aol.com
45626,Moderate,Willard,Kolmetz,Irving,TX,972-303-9197,willard@hotmail.com
45627,Moderate,Maryann,Royster,Albany,NY,518-966-7987,mroyster@royster.com
45628,Low,Alisha,Slusarski,Middlesex,NJ,732-658-3154,alisha@slusarski.com
45629,Moderate,Allene,Iturbide,Stevens Point,WI,715-662-6764,allene_iturbide@cox.net
45630,Low,Chanel,Caudy,Shawnee,KS,913-388-2079,chanel.caudy@caudy.org
45631,Moderate,Ezekiel,Chui,Easton,MD,410-669-1642,ezekiel@chui.com
45632,Low,Willow,Kusko,New York,NY,212-582-4976,wkusko@yahoo.com
45633,Moderate,Bernardo,Figeroa,Conroe,TX,936-336-3951,bfigeroa@aol.com
45634,Moderate,Ammie,Corrio,Columbus,OH,614-801-9788,ammie@corrio.com
45635,Low,Francine,Vocelka,Las Cruces,NM,505-977-3911,francine_vocelka@vocelka.com
45636,Low,Ernie,Stenseth,Ridgefield Park,NJ,201-709-6245,ernie_stenseth@aol.com
45637,Moderate,Albina,Glick,Dunellen,NJ,732-924-7882,albina@glick.com
45638,Low,Alishia,Sergi,New York,NY,212-860-1579,asergi@gmail.com
45639,High,Solange,Shinko,Metairie,LA,504-979-9175,solange@shinko.com
45640,Moderate,Jose,Stockham,New York,NY,212-675-8570,jose@yahoo.com
45641,Moderate,Rozella,Ostrosky,Camarillo,CA,805-832-6163,rozella.ostrosky@ostrosky.com
45642,Low,Valentine,Gillian,San Antonio,TX,210-812-9597,valentine_gillian@gmail.com
45643,Moderate,Kati,Rulapaugh,Abilene,KS,785-463-7829,kati.rulapaugh@hotmail.com
45644,Low,Youlanda,Schemmer,Prineville,OR,541-548-8197,youlanda@aol.com
45645,Moderate,Dyan,Oldroyd,Overland Park,KS,913-413-4604,doldroyd@aol.com
45646,Low,Roxane,Campain,Fairbanks,AK,907-231-4722,roxane@hotmail.com
45647,Moderate,Lavera,Perin,Miami,FL,305-606-7291,lperin@perin.org
45648,Moderate,Erick,Ferencz,Fairbanks,AK,907-741-1044,erick.ferencz@aol.com
45649,Low,Fatima,Saylors,Hopkins,MN,952-768-2416,fsaylors@saylors.org
45650,Low,Jina,Briddick,Boston,MA,617-399-5124,jina_briddick@briddick.com
45651,Moderate,Kanisha,Waycott,Los Angeles,CA,323-453-2780,kanisha_waycott@yahoo.com
45652,Low,Emerson,Bowley,Madison,WI,608-336-7444,emerson.bowley@bowley.org
45653,High,Blair,Malet,Philadelphia,PA,215-907-9111,bmalet@yahoo.com
